0.500000 0.276976 -0.192364 -0.490308 -0.356701 0.990352 
 0.276976 -0.192364 -0.490308 -0.356701 0.085921 0.978335 
 -0.192364 -0.490308 -0.356701 0.085921 0.452529 0.961592 
 -0.490308 -0.356701 0.085921 0.452529 0.436433 0.940205 
 -0.356701 0.085921 0.452529 0.436433 0.061498 0.914277 
 0.085921 0.452529 0.436433 0.061498 -0.359264 0.883933 
 0.452529 0.436433 0.061498 -0.359264 -0.494986 0.849320 
 0.436433 0.061498 -0.359264 -0.494986 -0.254353 0.810604 
 0.061498 -0.359264 -0.494986 -0.254353 0.169089 0.767973 
 -0.359264 -0.494986 -0.254353 0.169089 0.467054 0.721632 
 -0.494986 -0.254353 0.169089 0.467054 0.444244 0.671806 
 -0.254353 0.169089 0.467054 0.444244 0.134427 0.618735 
 0.169089 0.467054 0.444244 0.134427 -0.252237 0.562676 
 0.467054 0.444244 0.134427 -0.252237 -0.482846 0.503899 
 0.444244 0.134427 -0.252237 -0.482846 -0.440157 0.442688 
 0.134427 -0.252237 -0.482846 -0.440157 -0.167910 0.379339 
 -0.252237 -0.482846 -0.440157 -0.167910 0.179955 0.314157 
 -0.482846 -0.440157 -0.167910 0.179955 0.434966 0.247458 
 -0.440157 -0.167910 0.179955 0.434966 0.494596 0.179564 
 -0.167910 0.179955 0.434966 0.494596 0.353370 0.110803 
 0.179955 0.434966 0.494596 0.353370 0.084720 0.041506 
 0.434966 0.494596 0.353370 0.084720 -0.204027 -0.027991 
 0.494596 0.353370 0.084720 -0.204027 -0.417213 -0.097353 
 0.353370 0.084720 -0.204027 -0.417213 -0.499592 -0.166244 
 0.084720 -0.204027 -0.417213 -0.499592 -0.443533 -0.234333 
 -0.204027 -0.417213 -0.499592 -0.443533 -0.279489 -0.301290 
 -0.417213 -0.499592 -0.443533 -0.279489 -0.058443 -0.366791 
 -0.499592 -0.443533 -0.279489 -0.058443 0.165716 -0.430521 
 -0.443533 -0.279489 -0.058443 0.165716 0.349018 -0.492172 
 -0.279489 -0.058443 0.165716 0.349018 0.463869 -0.551445 
 -0.058443 0.165716 0.349018 0.463869 0.499943 -0.608055 
 0.165716 0.349018 0.463869 0.499943 0.461372 -0.661728 
 0.349018 0.463869 0.499943 0.461372 0.362233 -0.712204 
 0.463869 0.499943 0.461372 0.362233 0.221878 -0.759241 
 0.499943 0.461372 0.362233 0.221878 0.061016 -0.802610 
 0.461372 0.362233 0.221878 0.061016 -0.101065 -0.842103 
 0.362233 0.221878 0.061016 -0.101065 -0.248145 -0.877529 
 0.221878 0.061016 -0.101065 -0.248145 -0.367808 -0.908716 
 0.061016 -0.101065 -0.248145 -0.367808 -0.451540 -0.935513 
